,user,UMAP1,UMAP2,Twitter Name,Twitter Followers,Weight,Assigned English Name,attributes.color,attributes.modularity_class
0,@nankurunaisa_10,-6.135466,-0.6848285,ナンクルナイサの会,2599,0.08001731972990794,Nankurunaisa Association,#ff8ab7,5
1,@kamazen4649,2.0599675,-0.7784939,鎌田善光🇷🇺,2236,0.00727790545920084,Yoshimitsu Kamata,#4269d0,4
2,@ryukyushimpo,-5.686554,-2.080885,琉球新報,113241,0.1268752704241914,Ryukyu Shimpo,#ff8ab7,5
3,@tobimono2,3.4116268,-0.4217434,tobimono2,9609,0.1070318096127612,Tobimono2,#4269d0,4
4,@d9bf0nrdyrl21ba,-1.7677193,0.83943367,祐佳,5772,0.1339391471862384,Yuka,#efb118,1
5,@sputnik_jp,3.213757,-0.53920174,Sputnik 日本,123919,0.2110665849225395,Sputnik Japan,#4269d0,4
6,@crijpn,-0.92907524,-1.8810825,CRI日本語,24078,0.03950006283318316,China Radio International Japan,#ff725c,0
7,@rusembassyj,4.1583147,-0.6478329,駐日ロシア連邦大使館,95280,0.03874628082404866,Russian Embassy in Japan,#4269d0,4
8,@monmi0614,3.138225,-0.7719979,もんみ🐻,12025,0.04947137730277826,Monmi,#4269d0,4
9,@sawayama0410,1.820324,1.04428,Dr. Shintaro Sawayama,35608,0.07670222464419311,Shintaro Sawayama,#4269d0,4
10,@kumi_japonesa,2.6711884,-0.8369849,Kumi@🇮💟🇨🇺☭,12410,0.09371405103659165,Kumi,#efb118,1
11,@sohbunshu,-1.8284454,0.63573074,宋　文洲,216173,0.1391263493901354,Bunshu So,#6cc5b0,2
12,@mari21sofi,2.461781,-1.2643528,MK✝️ほんものだよ,24572,0.1110714026158567,MK,#4269d0,4
13,@trappedsoldier,3.360674,1.5815187,mko　🇷🇺,9584,0.1190321972653729,Mko,#efb118,1
14,@naoyafujiwara,1.3774824,0.9842315,藤原直哉,145906,0.1332885325669587,Naoya Fujiwara,#6cc5b0,2
15,@robkajiwara,-3.1211667,-0.6392002,Robert Kajiwara ｜比嘉孝昌｜ 魏孝昌 🧧🐉🧨,29149,0.0009943306378737795,Robert Kajiwara,#ff8ab7,5
16,@theokinawatimes,-5.647478,-2.2027464,沖縄タイムス,135597,0.1161016828591615,Okinawa Times,#ff8ab7,5
17,@sicknxi7ewcklrl,-2.144003,0.69325066,横山　祥一　（전상일）,18678,0.09495363870572793,Shoichi Yokoyama,#efb118,1
18,@tamama0306,1.4010665,1.315012,タマホイ🎶🧷,56682,0.2361478879207493,Tamahoi,#4269d0,4
19,@tomoaaahiro,-5.614607,-0.5187211,tomo🍃🌸🍃,4968,0.09584069004872829,Tomo,#ff8ab7,5
20,@8vyie27rhxz49od,2.3346944,3.056713,祐佳Ⅱ,681,0.007896842844942744,Yuka 2,#efb118,1
21,@parstodayj,3.636279,2.8091478,ParsTodayJapanese【公式】,25636,0.07500736796515858,Pars Today Japan,#efb118,1
22,@ais_of_dragoon,3.2045918,-1.7373796,コード・アリス（Code_Alice🇯🇵）,6439,0.06143035282622305,Code Alice,#4269d0,4
23,@j_sato,1.1855731,1.4304247,J Sato,64706,0.1036320625487145,J Sato,#4269d0,3
24,@shortshort_news,2.2142868,1.7959414,ShortShort News,43380,0.1896899894636974,ShortShort News,#4269d0,3
25,@2018_apc,2.430316,0.8854823,アジア記者クラブ（APC）,16609,0.1410385827456752,Asia Press Club,#efb118,1
26,@revolution1749,-1.5115714,0.8550844,深蓝海（日文名「古池一弘」）,747,0.00679709888349949,Kazuhiro Furuike,#efb118,1
27,@sakemotomasao,-1.7876759,0.62137866,酒本正夫,10979,0.04961357413950995,Masao Sakamoto,#4269d0,4
28,@tomokoshimoyama,2.7463992,2.3065014,Tomoko Shimoyama,17192,0.02052317497772691,Tomoko Shimoyama,#efb118,1
29,@hatoyamayukio,-1.3515768,-0.2775736,鳩山友紀夫（由紀夫）Yukio Hatoyama,821593,0.008688603568390608,Yukio Hatoyama,#efb118,1
30,@chnconsul_osaka,-0.13011694,-1.7637081,中華人民共和国駐大阪総領事館,21722,0.01468705423278093,Chinese Consulate General in Osaka,#ff725c,0
31,@8ywgrulkqnzjbun,-1.6642232,0.8777342,姜一星 カンイルソン 강일성,3540,0.03463730086914377,Kang Il-sung,#efb118,1
32,@xuejianosaka,-0.6700082,-1.3530531,薛剑XueJian,76339,0.5469559067137945,Xue Jian,#ff725c,0
33,@kharaguchi,-2.8719482,1.6621895,原口　一博,348978,0.08509828272372101,Kazuhiro Haraguchi,#6cc5b0,2
34,@z58633894,2.8060703,-1.1093416,🐻ウラジミールZ🇷🇺,9010,0.07733371339485808,Vladimir Z,#4269d0,4
35,@guts_1997,-1.2943001,-0.9518137,Chikawa🇨🇳,1881,0.118466395884113,Chikawa,#efb118,1
36,@jucundioribus,-0.41653585,0.94714785,善隣友好,3380,0.02179428545116258,Zenrinyuko,#4269d0,4
37,@wangon2010,-1.093574,-0.09292698,臥龍通信,15506,0.07338065209117833,Garyu Tsushin,#4269d0,4
38,@matusima3455,-6.1684113,-0.60716677,松島泰勝,1516,0.000712150929312455,Yasukatsu Matsushima,#ff8ab7,5
39,@teiichiaoyama,3.5891495,-0.9641466,青山貞一,11130,0.01967814661243643,Teiichi Aoyama,#4269d0,4
40,@jupiter_russia,1.970828,-0.3717785,ロシア在住です,30038,0.04190818574888953,Jupiter Russia,#4269d0,4
41,@holms6,2.4225523,3.0233674,Holmes＃世論の理性,20489,0.05348476731349101,Holmes,#6cc5b0,2
42,@4myeefhha6h1onf,2.1291175,0.3384781,Акичка,13144,0.1223586353497446,Akichka,#4269d0,4
